Rank,Name,Platform,Year,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
7460,Greg Hastings Paintball 2,X360,2010,0.19,0,0,0.01,0.21
10326,Attack of the Movies 3D,Wii,2010,0.1,0,0,0.01,0.11
11105,Mad Dog McCree: Gunslinger Pack,Wii,2009,0.08,0,0,0.01,0.09
11340,Nano Assault,3DS,2011,0.08,0,0,0.01,0.08
12028,Operation: Vietnam,DS,2007,0.06,0,0,0,0.07
12662,Nanostray,DS,2005,0.05,0,0,0,0.06
13327,Raze's Hell,XB,2005,0.04,0.01,0,0,0.05
13611,Attack of the Movies 3D,X360,2010,0.04,0,0,0,0.04
14092,Greg Hastings Paintball 2,PS3,2010,0.03,0,0,0,0.04
