Rank,Name,Platform,Year,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
10670,Kiku! Kaku! Kotoba o Fuyasu! Hajimete no Eigo Training,DS,2007,0,0,0.1,0,0.1
11040,Reading Training,DS,2007,0.01,0,0.08,0,0.09
12358,Kuukan * Zukei: Hirameki Training - KuuTore,DS,2008,0,0,0.06,0,0.06
13189,Fushigi? Kagaku: Nazotoki Quiz Training - NazoTore,DS,2008,0,0,0.05,0,0.05
15283,Motto Hayaku! Seikaku Ni! Suu Sense Keisan Ryuoku Up Training - SuuTore,DS,2008,0,0,0.02,0,0.02
16137,Kikiite Hajimaru: Eigo Kaiwa Training - KikiTore,DS,2008,0,0,0.01,0,0.01
