Rank,Name,Platform,Year,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
8141,Chuck E. Cheese's Party Games,DS,2010,0.17,0,0,0.01,0.18
8307,Chuck E. Cheese's Party Games,Wii,2010,0.16,0,0,0.01,0.17
9435,Chuck E. Cheese's Game Room,DS,2010,0.12,0,0,0.01,0.13
12395,Chuck E. Cheese's Playhouse,DS,2010,0.06,0,0,0,0.06
13175,Smart Kid's Party Fun Pak,DS,2008,0.05,0,0,0,0.05
14325,Smart Girl's Winter Wonderland,DS,2008,0.03,0,0,0,0.03
16003,Smart Kid's Mega Game Mix,DS,2009,0.01,0,0,0,0.01
16487,Smart Boy's Winter Wonderland,DS,2008,0.01,0,0,0,0.01
