Rank,Name,Platform,Year,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
8783,Army Men: Sarge's War,GC,2004,0.12,0.03,0,0,0.15
10035,Army Men: Sarge's War,XB,2004,0.09,0.02,0,0,0.11
10301,Robotech: Invasion,PS2,2004,0.05,0.04,0,0.01,0.11
11890,Serious Sam: Next Encounter,PS2,2004,0.04,0.03,0,0.01,0.07
13315,Robotech: Invasion,XB,2004,0.04,0.01,0,0,0.05
14942,Serious Sam Advance,GBA,2004,0.02,0.01,0,0,0.02
15194,Serious Sam: Next Encounter,GC,2004,0.02,0,0,0,0.02
15777,Army Men: Major Malfunction,XB,2006,0.01,0,0,0,0.02
